title,genres,popularity,release_date,revenue
Peaky Blinders: The Immortal Man,"[80, 18]",360.2727,2026-03-05,
Project Hail Mary,"[878, 12]",319.2442,2026-03-15,
Avatar: Fire and Ash,"[878, 12, 14]",318.215,2025-12-17,
Shelter,"[28, 80, 53]",305.7725,2026-01-28,
Scream 7,"[27, 9648, 80]",303.5377,2026-02-25,
Your Heart Will Be Broken,"[10749, 18]",290.9201,2026-03-26,
War Machine,"[28, 878, 53]",284.7653,2026-02-12,
Crime 101,"[80, 53]",256.486,2026-02-11,
Send Help,"[27, 53, 35]",222.9533,2026-01-22,
Greenland 2: Migration,"[12, 53, 878]",201.2553,2026-01-07,
Pretty Lethal,"[28, 53, 27]",165.9872,2026-03-13,
GOAT,"[16, 35, 10751]",163.3332,2026-02-11,
Zootopia 2,"[16, 35, 12, 10751, 9648]",146.8393,2025-11-26,
Lake Jesup: Bonecrusher's Revenge,"[27, 35, 12]",136.5082,2024-05-01,
Whistle,"[27, 9648]",128.9219,2026-01-20,
"""Wuthering Heights""","[10749, 18]",120.0403,2026-02-11,
Return to Silent Hill,"[9648, 18, 27]",117.1219,2026-01-21,
Hoppers,"[16, 10751, 878, 35, 12]",115.3966,2026-03-04,
Mercy,"[878, 28, 53]",113.5157,2026-01-20,
Vanaveera,"[28, 18]",111.9116,2026-02-13,
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"[16, 28, 14]",110.8049,2025-07-18,
Dhurandhar: The Revenge,"[28, 80, 53]",105.9388,2026-03-18,
The Wrecking Crew,"[28, 35, 80, 9648]",103.9216,2026-01-28,
Hellfire,"[28, 53]",103.0455,2026-02-05,
The Shadow's Edge,"[28, 80, 18, 53]",100.0367,2025-08-16,
Play Dead,[27],98.5541,2025-03-29,
Agent Zeta,"[18, 53]",97.9858,2026-03-20,
The Deadly Little Mermaid,[27],97.6018,2026-03-06,
The Housemaid,"[9648, 53]",92.2983,2025-12-18,
Do Not Enter,[27],90.3849,2026-03-19,
Felon,"[80, 18, 53, 28]",88.8603,2008-07-17,
How to Make a Killing,"[35, 53]",86.8431,2026-02-19,
War of the Worlds,"[878, 53]",85.4851,2025-07-29,
Mrs Sen,[18],85.0244,2013-07-11,
Dinosaurus!,"[878, 27]",83.1998,1960-07-20,
Anaconda,"[12, 35, 27]",80.5068,2025-12-24,
Frenzy,"[80, 53, 27]",80.4953,1972-05-25,
Lilly Lives Alone,"[27, 53]",80.2723,2025-08-22,
Milli Vanilli,"[10402, 99]",79.4449,2023-06-10,
Rocky Aur Rani Kii Prem Kahaani,"[35, 18, 10751, 10749]",76.8681,2023-07-28,
Predator: Badlands,"[28, 878, 12]",76.8503,2025-11-05,
Rage,"[18, 53]",74.5444,1972-11-22,
Lady Bodyguard,[35],73.6573,1943-01-02,
Spider-Man: No Way Home,"[28, 12, 878]",70.3123,2021-12-15,
The Killers,"[80, 9648, 53]",70.2792,1946-08-30,
Endless Love,"[18, 10749]",68.9161,2014-02-12,
xXx,"[28, 12, 53, 80, 18]",67.816,2002-08-09,
Don Juan,"[12, 10749]",66.4594,1926-08-06,
Gifted,"[18, 35]",66.2226,2017-04-07,
Dhurandhar,"[28, 80, 53]",65.9801,2025-12-05,
Zoolander 2,"[35, 12, 28]",65.8783,2016-02-06,
Sinners,"[27, 28, 53]",65.7084,2025-04-16,
One Battle After Another,"[53, 80, 35]",65.5952,2025-09-23,
Attila,[10402],65.3349,2018-12-07,
Cruel Jaws,"[27, 53, 12, 35]",65.0112,1995-05-05,
7 Below,[27],64.4176,2012-04-16,
Buffaloed,"[35, 18]",64.3682,2020-02-14,
The Hayseed,[35],64.1182,1919-10-26,
Carnosaur 2,"[27, 878]",62.5565,1995-02-23,
Defenseless,"[53, 9648]",62.502,1991-08-23,
Bingo Bongo,[35],62.3489,1982-12-23,
Bloodline Killer,"[27, 53]",61.4477,2024-04-26,
Hunting Season,"[28, 18, 53]",61.1552,2025-12-05,
Swimfan,"[53, 9648, 10749, 18]",60.5096,2002-09-06,
Local Hero,"[35, 18]",60.1175,1983-02-17,
The Presidio,"[28, 80, 9648, 53]",59.6319,1988-06-10,
The Unearthly,"[878, 27]",59.6105,1957-06-28,
Ready or Not: Here I Come,"[27, 35]",58.0805,2026-03-19,
Project X,[35],58.0677,2012-03-01,
Door III,[27],57.6962,1996-04-13,
David,"[16, 10751, 18]",57.4995,2025-12-14,
Pathinaaru,[10749],57.1384,2011-01-28,
Spider-Man: Brand New Day,"[878, 28, 12]",56.9106,2026-07-29,
Sherlock Holmes,"[12, 80, 9648]",55.284,2009-12-23,
28 Years Later: The Bone Temple,"[27, 53, 878]",55.0597,2026-01-14,
El Anzuelo,[35],54.8343,1996-06-01,
The Rip,"[28, 53, 80]",54.5942,2026-01-13,
The Super Mario Bros. Movie,"[10751, 35, 12, 16, 14]",54.0203,2023-04-05,
Stung,"[27, 35, 878]",53.4155,2015-07-03,
Pusher,"[28, 80, 18]",52.4538,1996-08-30,
Homo Promo,[99],51.9866,,
Rust Creek,"[53, 18, 28, 80]",51.871,2019-01-04,
The Avengers,"[878, 28, 12]",51.6661,2012-04-25,
JUJUTSU KAISEN: Execution,"[16, 28, 14]",51.3937,2025-11-07,
The Humbling,"[18, 35]",50.4327,2014-12-31,
Palimpsests,[99],50.4147,2017-09-27,
State of Fear,"[28, 53, 80, 18]",49.3415,2026-02-10,
Now You See Me: Now You Don't,"[53, 80]",48.8902,2025-11-12,
Interstellar,"[12, 18, 878]",48.4891,2014-11-05,
Avengers: Infinity War,"[12, 28, 878]",48.0811,2018-04-25,
Sundutan,[18],47.5161,2026-03-06,
Summer School,[35],47.0717,1987-07-22,
The Internship,[28],46.8276,2026-01-13,
Avengers: Doomsday,"[878, 28, 12]",46.5678,2026-12-16,
Wildcat,"[28, 53]",46.0999,2025-11-19,
Abot Langit,[10749],45.8688,2026-03-13,
USS Christmas,"[10770, 9648]",45.695,2020-11-28,
The Legendary Lighter,[28],45.5514,2019-10-29,
Osiris,"[878, 28, 27]",45.4533,2025-07-25,
Dracula,"[27, 14, 10749]",45.444,2025-07-30,
Slumberland Express,[16],38.4943,1936-03-09,
Abot Langit,[10749],45.8688,2026-03-13,
KPop Demon Hunters,"[14, 10402, 35, 16]",44.78,2025-06-20,
The Shawshank Redemption,"[18, 80]",44.6246,1994-09-23,
Passenger 57,"[28, 12, 53]",44.3638,1992-11-06,
Re/Member: The Last Night,[27],36.7701,2025-09-05,
Worldbreaker,"[878, 28, 27]",40.4165,2025-10-30,
Sundutan,[18],47.5161,2026-03-06,
Bāhubali: The Epic,"[28, 18]",40.3206,2025-10-29,
The Sexpert,[35],39.8172,1972-01-01,
